Id,Date,To,From,Amount,Reason,Fbo,Location,Aircraft,Comment,AircraftId,
191614806,2023/04/29 16:18:13,NorCan Holdings,Aer Bridge Ltd.,47.20,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,KEWR,C-GGXN,,23077,
191614805,2023/04/29 16:18:13,Adviv,Aer Bridge Ltd.,613.00,Pilot fee,N/A,KEWR,C-GGXN,,23077,
191614804,2023/04/29 16:18:13,Aer Bridge Ltd.,Bank,944.00,Pay for assignment,N/A,KEWR,C-GGXN,,23077,
191614803,2023/04/29 16:18:13,esoxhntr,Aer Bridge Ltd.,47.20,FBO ground crew fee,"KEWR Hundredth Meridian - Newark Liberty, NJ",KEWR,C-GGXN,,23077,
191614802,2023/04/29 16:18:13,NorCan Holdings,Aer Bridge Ltd.,47.20,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,KEWR,C-GGXN,,23077,
191614801,2023/04/29 16:18:13,Adviv,Aer Bridge Ltd.,613.00,Pilot fee,N/A,KEWR,C-GGXN,,23077,
191614800,2023/04/29 16:18:13,Aer Bridge Ltd.,Bank,944.00,Pay for assignment,N/A,KEWR,C-GGXN,,23077,
191614799,2023/04/29 16:18:13,esoxhntr,Aer Bridge Ltd.,47.20,FBO ground crew fee,"KEWR Hundredth Meridian - Newark Liberty, NJ",KEWR,C-GGXN,,23077,
191614798,2023/04/29 16:18:13,NorCan Holdings,Aer Bridge Ltd.,47.20,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,KEWR,C-GGXN,,23077,
191614797,2023/04/29 16:18:13,Adviv,Aer Bridge Ltd.,613.00,Pilot fee,N/A,KEWR,C-GGXN,,23077,
191614796,2023/04/29 16:18:13,Aer Bridge Ltd.,Bank,944.00,Pay for assignment,N/A,KEWR,C-GGXN,,23077,
191614795,2023/04/29 16:18:13,esoxhntr,Aer Bridge Ltd.,47.20,FBO ground crew fee,"KEWR Hundredth Meridian - Newark Liberty, NJ",KEWR,C-GGXN,,23077,
191614794,2023/04/29 16:18:13,NorCan Holdings,Aer Bridge Ltd.,47.20,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,KEWR,C-GGXN,,23077,
191614793,2023/04/29 16:18:13,Adviv,Aer Bridge Ltd.,613.00,Pilot fee,N/A,KEWR,C-GGXN,,23077,
191614792,2023/04/29 16:18:13,Aer Bridge Ltd.,Bank,944.00,Pay for assignment,N/A,KEWR,C-GGXN,,23077,
191614790,2023/04/29 16:18:13,CaptNabs,Aer Bridge Ltd.,300.09,Aircraft Bonus,N/A,KEWR,C-GGXN,,23077,
191614789,2023/04/29 16:18:13,CaptNabs,Aer Bridge Ltd.,1089.15,Rental of aircraft,N/A,KEWR,C-GGXN,,23077,
191614122,2023/04/29 16:00:26,broulma,Aer Bridge Ltd.,80.83,Aircraft Bonus,N/A,CNZ4,EI-ATR,,41293,
191614121,2023/04/29 16:00:26,Aer Bridge Ltd.,broulma,523.01,Rental of aircraft,N/A,CNZ4,EI-ATR,,41293,
191613080,2023/04/29 15:28:48,Aer Bridge Ltd.,broulma,98.29,Aircraft Bonus,N/A,CYTA,EI-ATR,,41293,
191613079,2023/04/29 15:28:48,Aer Bridge Ltd.,broulma,452.22,Rental of aircraft,N/A,CYTA,EI-ATR,,41293,
191612285,2023/04/29 15:15:39,Aer Bridge Ltd.,broulma,69.17,Aircraft Bonus,N/A,CPF4,EI-ATR,,41293,
191612284,2023/04/29 15:15:39,Aer Bridge Ltd.,broulma,480.76,Rental of aircraft,N/A,CPF4,EI-ATR,,41293,
191611404,2023/04/29 14:58:48,Aer Bridge Ltd.,broulma,35.30,Aircraft Bonus,N/A,CNP3,EI-ATR,,41293,
191611403,2023/04/29 14:58:48,Aer Bridge Ltd.,broulma,433.04,Rental of aircraft,N/A,CNP3,EI-ATR,,41293,
191609785,2023/04/29 14:25:48,NorCan Holdings,Aer Bridge Ltd.,3211.77,Refuelling with JetA,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,"User ID: 64032 Amount (gals): 815.2, $ per Gal: $3.94",41293,
191598315,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598314,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYLQ NorCan Flight Support - La Tuque QC,CYOW,EI-ATR,,41293,
191598313,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,127.12,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598312,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,590.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598311,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,908.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598310,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598309,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYMW NorCan Flight Support - Maniwaki QC,CYOW,EI-ATR,,41293,
191598308,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,104.30,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598307,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,484.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598306,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,745.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598305,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598304,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYLQ NorCan Flight Support - La Tuque QC,CYOW,EI-ATR,,41293,
191598303,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,127.12,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598302,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,590.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598301,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,908.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598300,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598299,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYLQ NorCan Flight Support - La Tuque QC,CYOW,EI-ATR,,41293,
191598298,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,127.12,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598297,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,590.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598296,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,908.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598295,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598294,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYMW NorCan Flight Support - Maniwaki QC,CYOW,EI-ATR,,41293,
191598293,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,104.30,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598292,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,484.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598291,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,745.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598290,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598289,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYMW NorCan Flight Support - Maniwaki QC,CYOW,EI-ATR,,41293,
191598288,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,104.30,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598287,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,484.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598286,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,745.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598285,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598284,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYMW NorCan Flight Support - Maniwaki QC,CYOW,EI-ATR,,41293,
191598283,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,104.30,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598282,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,484.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598281,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,745.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598280,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598279,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYMW NorCan Flight Support - Maniwaki QC,CYOW,EI-ATR,,41293,
191598278,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,104.30,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598277,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,484.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598276,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,745.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598275,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598274,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYMW NorCan Flight Support - Maniwaki QC,CYOW,EI-ATR,,41293,
191598273,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,104.30,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598272,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,484.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598271,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,745.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598270,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598269,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYLQ NorCan Flight Support - La Tuque QC,CYOW,EI-ATR,,41293,
191598268,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,127.12,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598267,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,590.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598266,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,908.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598265,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598264,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYMW NorCan Flight Support - Maniwaki QC,CYOW,EI-ATR,,41293,
191598263,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,104.30,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598262,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,484.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598261,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,745.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598260,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598259,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYMW NorCan Flight Support - Maniwaki QC,CYOW,EI-ATR,,41293,
191598258,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,104.30,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598257,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,484.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598256,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,745.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598255,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598254,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,45.40,FBO ground crew fee,CYLQ NorCan Flight Support - La Tuque QC,CYOW,EI-ATR,,41293,
191598253,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,127.12,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598252,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,590.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598251,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,908.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598250,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYOW NorCan Flight Support - Ottawa ON,CYOW,EI-ATR,,41293,
191598249,2023/04/29 08:42:51,NorCan Holdings,Aer Bridge Ltd.,37.25,FBO ground crew fee,CYMW NorCan Flight Support - Maniwaki QC,CYOW,EI-ATR,,41293,
191598248,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,104.30,Booking Fee,N/A,CYOW,EI-ATR,,41293,
191598247,2023/04/29 08:42:51,julietbravo52,Aer Bridge Ltd.,484.00,Pilot fee,N/A,CYOW,EI-ATR,,41293,
191598246,2023/04/29 08:42:51,Aer Bridge Ltd.,Bank,745.00,Pay for assignment,N/A,CYOW,EI-ATR,,41293,
191598245,2023/04/29 08:42:51,Bank,Aer Bridge Ltd.,231.67,Crew fee,N/A,CYOW,EI-ATR,,41293,
191598244,2023/04/29 08:42:51,Aer Bridge Ltd.,Aer Bridge Ltd.,287.14,Aircraft Bonus,N/A,CYOW,EI-ATR,,41293,
191598243,2023/04/29 08:42:51,Aer Bridge Ltd.,Aer Bridge Ltd.,2160.42,Rental of aircraft,N/A,CYOW,EI-ATR,,41293,
191586950,2023/04/29 00:53:40,Bank,Aer Bridge Ltd.,270.83,Crew fee,N/A,CYMW,EI-ATR,,41293,
191586949,2023/04/29 00:53:40,Aer Bridge Ltd.,Aer Bridge Ltd.,445.59,Aircraft Bonus,N/A,CYMW,EI-ATR,,41293,
191586948,2023/04/29 00:53:40,Aer Bridge Ltd.,Aer Bridge Ltd.,2031.38,Rental of aircraft,N/A,CYMW,EI-ATR,,41293,
191585251,2023/04/28 23:41:48,NorCan Holdings,Aer Bridge Ltd.,1994.78,Refuelling with JetA,CYLQ NorCan Flight Support - La Tuque QC,CYLQ,EI-ATR,"User ID: 89637 Amount (gals): 506.3, $ per Gal: $3.94",41293,
191563855,2023/04/28 14:38:53,Aer Bridge Ltd.,GGS Alliance,39.90,FBO ground crew fee,EGNC Aer Bridge Ltd. - Carlisle,EGNM,11-SVS,,25292,
191563851,2023/04/28 14:38:53,Aer Bridge Ltd.,GGS Alliance,39.90,FBO ground crew fee,EGNC Aer Bridge Ltd. - Carlisle,EGNM,11-SVS,,25292,
191563847,2023/04/28 14:38:53,Aer Bridge Ltd.,GGS Alliance,39.90,FBO ground crew fee,EGNC Aer Bridge Ltd. - Carlisle,EGNM,11-SVS,,25292,
191561904,2023/04/28 13:45:16,Aer Bridge Ltd.,Stevie_Flyer,2.80,Refuelling with 100LL,EGNC Aer Bridge Ltd. - Carlisle,EGNC,11-SVS,"User ID: 36736 Amount (gals): 0.7, $ per Gal: $4.20",25292,
191550017,2023/04/28 07:31:10,Aer Bridge Ltd.,John18,36.20,FBO ground crew fee,EGBP Aer Bridge Ltd. - Cotswold Airport/Kemble Airfield,EGBP,G-JH20,,32880,
191550013,2023/04/28 07:31:10,Aer Bridge Ltd.,John18,58.80,FBO ground crew fee,EGBP Aer Bridge Ltd. - Cotswold Airport/Kemble Airfield,EGBP,G-JH20,,32880,
191550009,2023/04/28 07:31:10,Aer Bridge Ltd.,John18,36.20,FBO ground crew fee,EGBP Aer Bridge Ltd. - Cotswold Airport/Kemble Airfield,EGBP,G-JH20,,32880,
191550005,2023/04/28 07:31:10,Aer Bridge Ltd.,John18,58.80,FBO ground crew fee,EGBP Aer Bridge Ltd. - Cotswold Airport/Kemble Airfield,EGBP,G-JH20,,32880,
191550001,2023/04/28 07:31:10,Aer Bridge Ltd.,John18,36.20,FBO ground crew fee,EGBP Aer Bridge Ltd. - Cotswold Airport/Kemble Airfield,EGBP,G-JH20,,32880,
191549997,2023/04/28 07:31:10,Aer Bridge Ltd.,John18,58.80,FBO ground crew fee,EGBP Aer Bridge Ltd. - Cotswold Airport/Kemble Airfield,EGBP,G-JH20,,32880,
191539714,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EINN Aer Bridge Ltd. -  Shannon,EINN,G-UKA,,17828,
191539713,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EIWT Aer Bridge Ltd. - Weston Airport,EINN,G-UKA,,17828,
191539712,2023/04/28 00:13:25,Bank,Aer Bridge Ltd.,108.94,Booking Fee,N/A,EINN,G-UKA,,17828,
191539711,2023/04/28 00:13:25,julietbravo52,Aer Bridge Ltd.,545.00,Pilot fee,N/A,EINN,G-UKA,,17828,
191539710,2023/04/28 00:13:25,Aer Bridge Ltd.,Bank,838.00,Pay for assignment,N/A,EINN,G-UKA,,17828,
191539709,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EINN Aer Bridge Ltd. -  Shannon,EINN,G-UKA,,17828,
191539708,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EIWT Aer Bridge Ltd. - Weston Airport,EINN,G-UKA,,17828,
191539707,2023/04/28 00:13:25,Bank,Aer Bridge Ltd.,108.94,Booking Fee,N/A,EINN,G-UKA,,17828,
191539706,2023/04/28 00:13:25,julietbravo52,Aer Bridge Ltd.,545.00,Pilot fee,N/A,EINN,G-UKA,,17828,
191539705,2023/04/28 00:13:25,Aer Bridge Ltd.,Bank,838.00,Pay for assignment,N/A,EINN,G-UKA,,17828,
191539704,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EINN Aer Bridge Ltd. -  Shannon,EINN,G-UKA,,17828,
191539703,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EISG Aer Bridge Ltd. - Aerfort Shligigh,EINN,G-UKA,,17828,
191539702,2023/04/28 00:13:25,Bank,Aer Bridge Ltd.,117.32,Booking Fee,N/A,EINN,G-UKA,,17828,
191539701,2023/04/28 00:13:25,julietbravo52,Aer Bridge Ltd.,545.00,Pilot fee,N/A,EINN,G-UKA,,17828,
191539700,2023/04/28 00:13:25,Aer Bridge Ltd.,Bank,838.00,Pay for assignment,N/A,EINN,G-UKA,,17828,
191539699,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EINN Aer Bridge Ltd. -  Shannon,EINN,G-UKA,,17828,
191539698,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EISG Aer Bridge Ltd. - Aerfort Shligigh,EINN,G-UKA,,17828,
191539697,2023/04/28 00:13:25,Bank,Aer Bridge Ltd.,117.32,Booking Fee,N/A,EINN,G-UKA,,17828,
191539696,2023/04/28 00:13:25,julietbravo52,Aer Bridge Ltd.,545.00,Pilot fee,N/A,EINN,G-UKA,,17828,
191539695,2023/04/28 00:13:25,Aer Bridge Ltd.,Bank,838.00,Pay for assignment,N/A,EINN,G-UKA,,17828,
191539694,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EINN Aer Bridge Ltd. -  Shannon,EINN,G-UKA,,17828,
191539693,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EIWT Aer Bridge Ltd. - Weston Airport,EINN,G-UKA,,17828,
191539692,2023/04/28 00:13:25,Bank,Aer Bridge Ltd.,108.94,Booking Fee,N/A,EINN,G-UKA,,17828,
191539691,2023/04/28 00:13:25,julietbravo52,Aer Bridge Ltd.,545.00,Pilot fee,N/A,EINN,G-UKA,,17828,
191539690,2023/04/28 00:13:25,Aer Bridge Ltd.,Bank,838.00,Pay for assignment,N/A,EINN,G-UKA,,17828,
191539689,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EINN Aer Bridge Ltd. -  Shannon,EINN,G-UKA,,17828,
191539688,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,41.90,FBO ground crew fee,EIWT Aer Bridge Ltd. - Weston Airport,EINN,G-UKA,,17828,
191539687,2023/04/28 00:13:25,Bank,Aer Bridge Ltd.,108.94,Booking Fee,N/A,EINN,G-UKA,,17828,
191539686,2023/04/28 00:13:25,julietbravo52,Aer Bridge Ltd.,545.00,Pilot fee,N/A,EINN,G-UKA,,17828,
191539685,2023/04/28 00:13:25,Aer Bridge Ltd.,Bank,838.00,Pay for assignment,N/A,EINN,G-UKA,,17828,
191539684,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,16.15,FBO ground crew fee,EINN Aer Bridge Ltd. -  Shannon,EINN,G-UKA,,17828,
191539683,2023/04/28 00:13:25,Aer Bridge Ltd.,Aer Bridge Ltd.,16.15,FBO ground crew fee,EIWT Aer Bridge Ltd. - Weston Airport,EINN,G-UKA,,17828,
191539682,2023/04/28 00:13:25,julietbravo52,Aer Bridge Ltd.,210.00,Pilot fee,N/A,EINN,G-UKA,,17828,
191539681,2023/04/28 00:13:25,Aer Bridge Ltd.,Bank,323.00,Pay for assignment,N/A,EINN,G-UKA,,17828,
